Dia,Mês,Ano,Cepagri,IAC
12,3,1991,18,18
13,3,1991,20.4,20
14,3,1991,20.2,20.4
15,3,1991,18.6,18.6
16,3,1991,17.4,17.4
17,3,1991,17.6,17.4
18,3,1991,19,18.6
19,3,1991,21.6,21.6
20,3,1991,20.1,19.8
21,3,1991,21,20.8
22,3,1991,20.4,20.4
23,3,1991,19.8,19
24,3,1991,19.6,19.4
25,3,1991,20.8,20
26,3,1991,19.8,19.8
27,3,1991,16.6,17
28,3,1991,16.8,16.6
29,3,1991,17.4,16.8
30,3,1991,18,17.4
31,3,1991,19.4,18.6
1,4,1991,19.6,19.4
2,4,1991,19.4,19.2
3,4,1991,17.4,17.4
4,4,1991,19.4,18.8
5,4,1991,16.8,16.6
6,4,1991,15.4,15
7,4,1991,16.6,15.8
8,4,1991,20,19.2
9,4,1991,19,18.8
10,4,1991,18.8,18.2
11,4,1991,19,19
12,4,1991,19.4,19.6
13,4,1991,19.6,20
14,4,1991,20.6,18.4
15,4,1991,20.8,20.2
16,4,1991,19,19.6
17,4,1991,18.4,18.8
18,4,1991,19.6,19.4
19,4,1991,20,19.8
20,4,1991,16.4,16.2
21,4,1991,15.8,15.2
22,4,1991,16.2,15.2
23,4,1991,13.6,14
24,4,1991,13.2,13.8
25,4,1991,15.8,16.4
26,4,1991,17.6,17.4
27,4,1991,15.8,15.6
28,4,1991,13.2,13.2
29,4,1991,13.8,13.2
30,4,1991,15,15
1,5,1991,13.8,15.6
2,5,1991,14.8,14.8
3,5,1991,15.2,15.8
4,5,1991,14.8,14
5,5,1991,13,13
6,5,1991,20,18.8
7,5,1991,16.2,16
8,5,1991,16,16
9,5,1991,11.8,11.4
10,5,1991,14.2,14
11,5,1991,15.2,14.6
12,5,1991,16,15.2
13,5,1991,15.8,14.4
14,5,1991,16.2,16.4
15,5,1991,16.4,16.2
16,5,1991,16.2,16
17,5,1991,14.2,14
18,5,1991,16.4,16
19,5,1991,17,15.6
20,5,1991,17.8,16.4
21,5,1991,15,13.4
22,5,1991,15.2,15.2
23,5,1991,17.4,16
24,5,1991,15,14.4
25,5,1991,12,12.2
26,5,1991,15.6,15.4
27,5,1991,15,15.2
28,5,1991,13.8,15
29,5,1991,15.6,15.6
30,5,1991,14.2,14
31,5,1991,13,13.6
1,6,1991,10.2,11.6
2,6,1991,11.8,12.6
3,6,1991,16,15.6
4,6,1991,12.4,14
5,6,1991,13.5,14
6,6,1991,12.8,13.2
7,6,1991,16.6,16.4
8,6,1991,16.8,16.2
9,6,1991,15.8,15.6
10,6,1991,14.6,13.8
11,6,1991,13,11.4
12,6,1991,9.8,11.8
13,6,1991,12.3,12
14,6,1991,13,12.6
15,6,1991,14,13.8
16,6,1991,14.4,14.4
17,6,1991,12,13
18,6,1991,12.4,14.8
19,6,1991,17,17.8
20,6,1991,15.8,16.2
21,6,1991,17,18
22,6,1991,15.8,15.6
23,6,1991,17.6,17.2
24,6,1991,17,16.4
25,6,1991,15,14.8
26,6,1991,15,15.4
27,6,1991,14,13.4
28,6,1991,12.6,13.8
29,6,1991,14.2,13.8
30,6,1991,13.2,13.2
1,7,1991,14,12.8
2,7,1991,11.2,11.8
3,7,1991,9.6,10.8
4,7,1991,9,10.6
5,7,1991,9.8,9.4
6,7,1991,9,9.4
7,7,1991,9.8,9.4
8,7,1991,11.8,9.8
9,7,1991,9.6,9.4
10,7,1991,8,10
11,7,1991,15.4,15
12,7,1991,13.6,13.4
13,7,1991,15,13.8
14,7,1991,14.8,14
15,7,1991,15.2,14.4
16,7,1991,13.2,13.8
17,7,1991,12.6,13.8
18,7,1991,15,14
19,7,1991,13,14
20,7,1991,12.8,13.2
21,7,1991,11.6,13.4
22,7,1991,11.4,12.8
23,7,1991,12.6,12
24,7,1991,7,8
25,7,1991,9.2,8.8
26,7,1991,13,10.2
27,7,1991,12.4,13.4
28,7,1991,11.8,13.8
29,7,1991,14.4,14.2
30,7,1991,11.2,14
31,7,1991,13,14
1,8,1991,14.4,14.2
2,8,1991,14.8,16
3,8,1991,8.2,8.4
4,8,1991,9.8,9.4
5,8,1991,10,11.6
6,8,1991,12.4,13.4
7,8,1991,14.2,14.4
8,8,1991,16.2,16.4
9,8,1991,15.6,15.6
10,8,1991,17,16.4
11,8,1991,18,17.8
12,8,1991,15.6,14.8
13,8,1991,15.4,15.2
14,8,1991,17.8,16.8
15,8,1991,15.4,15
16,8,1991,10.8,10.6
17,8,1991,11.2,10.2
18,8,1991,14.8,9.8
19,8,1991,12.6,10.4
20,8,1991,15.2,12
21,8,1991,14.2,14.2
22,8,1991,14,13.4
23,8,1991,13.6,13.6
24,8,1991,16.2,15.2
25,8,1991,19.4,17
26,8,1991,19,16
27,8,1991,14.8,16
28,8,1991,18,17
29,8,1991,16.4,16.8
30,8,1991,16.6,17.2
31,8,1991,16.2,16.4
1,9,1991,17.2,16.4
2,9,1991,15.2,14.8
3,9,1991,13.4,13.6
4,9,1991,11.6,11.6
5,9,1991,11.6,12.2
6,9,1991,12.6,11.6
